Company Name	Company Website	Contact phone number	Contact Name	Position
ASM Global	asmglobal.com			
A/V Textberts		702-780-4429	Ed Shelby	Owner
AV Lancer	avlancer.com	866-285-2623	Blake Zblewski	Director of Operations
AV Leads	avleads.com	202-780-9862	Nick Kilhefner	Sales & Operations
AVTS	avts.com	210-804-2403	Gene	Owner
BPS - Broadcast Productions Services	broadcastproductions.com	630-235-3581	Amy Bradshaw	Owner
CAVL	cavllabor.com	407-883-2904	Christian Regelado	Labor Coordinator
Center Stage	centerstaging.net	504-570-8345	Brent	Labor Coordinator
Corporate Lighting & Audio	corplighting.com	504-837-3947	John	Project Manager
Crew 1	crew1.com			
Dispatch AV	dispatchav.com	214-801-7611	Nicholas Mitchell	Owner
Freeman AV	freeman.com	407-908-4116	Ryan Tendall	Hiring Manager
Gig Life	thegiglife.com	321-301-5524	Eric	Labor Coordinator
Hueview	huview.com	213-570-0627	Georgetta Brown	Labor Coordinator
I.A.T.S.E. Local 39	iatse39.org	504-872-2115	Faye	Labor Coordinator
Lasso Marketplace	lasso.io	708-568-1588	Tracey Bugal	Labor Coordinator
Mitey AV	miteyav.com	504-941-9151	Shaun McCarron	Owner
Noa AV	https://www.facebook.com/nahro.noa	407-552-9177	Noah Narro	Owner
Pearson Technologies	gopearsontechnology.com	469-595-1592	Brandon	Labor Coordinator
Phoenix Rigging	phoenixrigging.com	225-636-1177	Doss Hicks	Owner
Power On Productions	poweronproductions.com	985-400-3927	Sean Howlett	Owner
Pyramid	pyramidav.com	504-333-9683	David Latina	Hiring Manager
Quest Show Services	questevents.com	469-613-8018	Micheal Heyse	National Labor Director
Rhino	rhinostaging.com	225-644-5600		
RZI	rzilighting.com	318-341-4369	Kim Wytcherly	Labor Coordinator
TLS, Llc	tlslabor.com	504-701-9213	Eliot Parker	Owner
Certified Video Services (T.J. Thompson)	jamesthomasproductions.com	504-460-8607	T.J. Thompson	Owner
Sea Hear Productions	seahear.com	985-871-7369		
Shine Street Produtions	shinestreetproduction.com	407-406-3064	James Marzak	Owner
Show Masters	showmasters.com	817-609-7375	Jen Rainey	Labor Coordinator
ShowPhaze	showphaze.com	512-621-6066		
Westaff	westaff.com	504-832-2103	Amanda/ Holly	Labor Pimps
Williams Signal AV	williamssignal.com	817-600-5664	Adam Zorn	Reginal Labor Coordinator
Vital Tech	vitaltechproductions.com	407-963-4526	Sharon Moeller	Labor Coordinator
